Burmese	English	Gender
ခင္ေမာင္အုန္း	Khin Maung Ohn 	M
ခင္ေမာင္ဦး	Khin Maung Oo 	M
ခင္ေမာင္ျဖဴ	Khin Maung Phyu 	M
ခင္ေမာင္စန္း	Khin Maung San 	M
ခင္ေမာင္ေစာ	Khin Maung Saw 	M
ခင္ေမာင္စိန္	Khin Maung Sein 	M
ခင္ေမာင္႐ွိန္	Khin Maung Shein 	M
ခင္ေမာင္ေ႐ႊ	Khin Maung Shwe 	M
ခင္ေမာင္စည္၊ ခင္ေမာင္စီ	Khin Maung Si 	M
ခင္ေမာင္ဆင့္	Khin Maung Sint 	M
ခင္ေမာင္စိုး	Khin Maung Soe 	M
ခင္ေမာင္ေဆြ	Khin Maung Swe 	M
ခင္ေမာင္သန္း	Khin Maung Than 	M
ခင္ေမာင္သန္႔	Khin Maung Thant 	M
ခင္ေမာင္ေသာင္း	Khin Maung Thaung 	M
ခင္ေမာင္သိန္း	Khin Maung Thein 	M
ခင္ေမာင္သက္	Khin Maung Thet 	M
ခင္ေမာင္သင္း	Khin Maung Thin 	M
ခင္ေမာင္သြင္	Khin Maung Thwin 	M
ခင္ေမာင္တင္	Khin Maung Tin 	M
ခင္ေမာင္တင့္	Khin Maung Tint 	M
ခင္ေမာင္တိုး	Khin Maung Toe 	M
ခင္ေမာင္ထြန္း	Khin Maung Tun 	M
ခင္ေမာင္ေဝ	Khin Maung Wai 	M
ခင္ေမာင္ဝင္း	Khin Maung Win 	M
ခင္ေမာင္ရီ	Khin Maung Yi 	M
ခင္ေမာင္ရင္	Khin Maung Yin 	M
ခင္ေမာင္ေဇာ္	Khin Maung Zaw 	M
ခင္ေမာင္ဇင္	Khin Maung Zin 	M
ခင္ေမာ္	Khin Maw 	M
ခင္ေမာ္	Khin Maw 	F
ခင္ေမ	Khin May 	F
ခင္ေမေအာင္	Khin May Aung 	F
ခင္ေမေအး	Khin May Aye 	F
ခင္ေမခ်စ္	Khin May Chit 	F
ခင္ေမႀကီး	Khin May Gyi 	F
ခင္ေမလွ	Khin May Hla 	F
ခင္ေမေဌး	Khin May Htay 	F
ခင္ေမၾကည္	Khin May Kyi 	F
ခင္ေမလင္း	Khin May Lin 	F
ခင္ေမလြင္	Khin May Lwin 	F
ခင္ေမျမင့္	Khin May Myint 	F
ခင္ေမၫြန္႔	Khin May Nyunt 	F
ခင္ေမအုန္း	Khin May Ohn 	F
ခင္ေမဦး	Khin May Oo 	F
ခင္ေမစိန္	Khin May Sein 	F
ခင္ေမစီ	Khin May Si 	F
ခင္ေမစိုး	Khin May Soe 	F
ခင္ေမသန္း	Khin May Than 	F
ခင္ေမသိန္း	Khin May Thein 	F
ခင္ေမသက္	Khin May Thet 	F
ခင္ေမသီ	Khin May Thi 	F
ခင္ေမတင္	Khin May Tin 	F
ခင္ေမဝင္း	Khin May Win 	F
ခင္ေမရီ	Khin May Yi 	F
ခင္ေမယု	Khin May Yu 	F
ခင္မိ	Khin Mi 	F
ခင္မိမိ၊ ခင္မီမီ	Khin Mi Mi 	F
ခင္မိမိလႈိင္၊ ခင္မီမီလႈိင္	Khin Mi Mi Hlaing 	F
ခင္မင္း	Khin Min 	M
ခင္မိုးေအး	Khin Moe Aye 	F
ခင္မိုးလြင္	Khin Moe Lwin 	F
ခင္မိုးမိုး	Khin Moe Moe 	F
ခင္မိုးျမင့္	Khin Moe Myint 	F
ခင္မိုးေဆြ	Khin Moe Swe 	F
ခင္မိုးသူ	Khin Moe Thu 	F
ခင္မူ	Khin Mu 	F
ခင္မူေအး	Khin Mu Aye 	F
ခင္မူမူ	Khin Mu Mu 	F
ခင္ျမ	Khin Mya 	M
ခင္ျမ	Khin Mya 	F
ခင္ျမေအး	Khin Mya Aye 	F
ခင္ျမမြန္	Khin Mya Mon 	F
ခင္ျမမူ	Khin Mya Mu 	F
ခင္ျမျမ	Khin Mya Mya 	F
ခင္ျမဦး	Khin Mya Oo 	F
ခင္ျမစိန္	Khin Mya Sein 	F
ခင္ျမသန္း	Khin Mya Than 	F
ခင္ျမသြယ္	Khin Mya Thwe 	F
ခင္ျမေဝ	Khin Mya Wai 	F
ခင္ျမဝင္း	Khin Mya Win 	F
ခင္ၿမိဳင္	Khin Myaing 	F
ခင္ျမတ္မြန္	Khin Myat Mon 	F
ခင္ျမတ္မူ	Khin Myat Mu 	F
ခင္ျမတ္ႏြယ္	Khin Myat Nwe 	F
ခင္ျမတ္ေဆြ	Khin Myat Swe 	F
ခင္ျမတ္သက္	Khin Myat Thet 	F
ခင္ျမတ္သူ	Khin Myat Thu 	F
ခင္ျမင့္	Khin Myint 	M
ခင္ျမင့္	Khin Myint 	F
ခင္ျမင့္ေအး	Khin Myint Aye 	F
ခင္ျမင့္ေထြး	Khin Myint Htwe 	F
ခင္ျမင့္ၾကည္	Khin Myint Kyi 	F
ခင္ျမင့္ေမာ္	Khin Myint Maw 	F
ခင္ျမင့္ေမ	Khin Myint May 	F
ခင္ျမင့္ျမင့္	Khin Myint Myint 	F
ခင္ျမင့္ဦး	Khin Myint Oo 	F
ခင္ျမင့္ေဆြ	Khin Myint Swe 	F
ခင္ျမင့္သန္း	Khin Myint Than 	F
ခင္ျမင့္ေဝ	Khin Myint Wai 	F
ခင္ျမင့္ဝင္း	Khin Myint Win 	F
ခင္ျမင့္ရီ	Khin Myint Yi 	F
ခင္မ်ဳိး	Khin Myo 	F
ခင္မ်ဳိးေအာင္	Khin Myo Aung 	M
ခင္မ်ဳိးေအး	Khin Myo Aye 	F
ခင္မ်ဳိးခ်စ္	Khin Myo Chit 	F
ခင္မ်ဳိးလွ	Khin Myo Hla 	F
ခင္မ်ဳိးခိုင္	Khin Myo Khaing 	F
ခင္မ်ဳိးၾကည္	Khin Myo Kyi 	F
ခင္မ်ဳိးျမတ္	Khin Myo Myat 	F
ခင္မ်ဳိးျမင့္	Khin Myo Myint 	F
ခင္မ်ဳိးႏြယ္	Khin Myo Nwe 	F
ခင္မ်ဳိးၫြန္႔	Khin Myo Nyunt 	F
ခင္မ်ဳိးဦး	Khin Myo Oo 	F
ခင္မ်ဳိးေဆြ	Khin Myo Swe 	F
ခင္မ်ဳိးသန္႔	Khin Myo Thant 	F
ခင္မ်ဳိးသက္	Khin Myo Thet 	F
ခင္မ်ဳိးသူ	Khin Myo Thu 	F
ခင္မ်ဳိးတင့္	Khin Myo Tint 	F
ခင္မ်ဳိးဝင္း	Khin Myo Win 	F
ခင္မ်ဳိးရီ	Khin Myo Yi 	F
ခင္ႏိုင္	Khin Naing 	M
ခင္နန္းမူ	Khin Nan Mu 	F
ခင္ေငြ	Khin Ngwe 	M
ခင္နီ	Khin Ni 	F
ခင္ႏု	Khin Nu 	F
ခင္ႏုႏု	Khin Nu Nu 	F
ခင္ႏြယ္	Khin Nwe 	F
ခင္ႏြယ္ေအး	Khin Nwe Aye 	F
ခင္ႏြယ္မူ	Khin Nwe Mu 	F
ခင္ႏြယ္ျမင့္	Khin Nwe Myint 	F
ခင္ႏြယ္ႏြယ္	Khin Nwe Nwe 	F
ခင္ႏြယ္ဦး	Khin Nwe Oo 	F
ခင္ႏြယ္ဝင္း	Khin Nwe Win 	F
ခင္ႏြယ္ရီ	Khin Nwe Yi 	F
ခင္ၿငိမ္း	Khin Nyein 	M
ခင္ၿငိမ္း	Khin Nyein 	F
ခင္ၿငိမ္းၿငိမ္း	Khin Nyein Nyein 	F
ခင္ညိဳ	Khin Nyo 	M
ခင္ညိဳ	Khin Nyo 	F
ခင္ညိဳညိဳ	Khin Nyo Nyo 	F
ခင္ညိဳဝင္း	Khin Nyo Win 	F
ခင္ၫြန္႔	Khin Nyunt 	M
ခင္ၫြန္႔	Khin Nyunt 	F
ခင္ၫြန္႔ၫြန္႔	Khin Nyunt Nyunt 	F
ခင္ၫြန္႔ေဝ	Khin Nyunt Wai 	F
ခင္ၫြန္႔ရီ	Khin Nyunt Yi 	F
ခင္အုန္း	Khin Ohn 	M
ခင္အုန္း	Khin Ohn 	F
ခင္အုန္းၾကည္	Khin Ohn Kyi 	F
ခင္အုန္းျမင့္	Khin Ohn Myint 	F
ခင္အုန္းရီ	Khin Ohn Yi 	F
ခင္ဥမၼာ	Khin Ohnmar 	F
ခင္ဦး	Khin Oo 	M
ခင္ဦး	Khin Oo 	F
ခင္ဦးေမ	Khin Oo May 	F
ခင္ဥ	Khin Ou 	F
ခင္ဘုန္း၊ ခင္ဘုဏ္း၊ ခင္ဖုန္း	Khin Phone 	F
ခင္ဘုန္းျမင့္	Khin Phone Myint 	F
ခင္ျဖဴ	Khin Phyu 	F
ခင္ျဖဴျဖဴ	Khin Phyu Phyu 	F
ခင္ျဖဴဝင္း	Khin Phyu Win 	F
ခင္ပို	Khin Po 	F
ခင္ပု	Khin Pu 	F
ခင္ၿပံဳး	Khin Pyone 	F
ခင္ၿပံဳးၾကည္	Khin Pyone Kyi 	F
ခင္ၿပံဳးၿပံဳး	Khin Pyone Pyone 	F
ခင္ၿပံဳးေ႐ႊ	Khin Pyone Shwe 	F
ခင္ၿပံဳးဝင္း	Khin Pyone Win 	F
ခင္ၿပံဳးရီ	Khin Pyone Yi 	F
ခင္စန္း	Khin San 	M
ခင္စန္း	Khin San 	F
ခင္စန္းေအး	Khin San Aye 	F
ခင္စန္းလႈိင္	Khin San Hlaing 	F
ခင္စန္းေဌး	Khin San Htay 	F
ခင္စန္းေထြး	Khin San Htwe 	F
ခင္စန္းၾကည္	Khin San Kyi 	F
ခင္စန္းၾကဴ	Khin San Kyu 	F
ခင္စန္းလင္း	Khin San Lin 	F
ခင္စန္းလြင္	Khin San Lwin 	F
ခင္စန္းေမာ္	Khin San Maw 	F
ခင္စန္းေမ	Khin San May 	F
ခင္စန္းမူ	Khin San Mu 	F
ခင္စန္းျမင့္	Khin San Myint 	F
ခင္စန္းႏြယ္	Khin San Nwe 	F
ခင္စန္းၫြန္႔	Khin San Nyunt 	F
ခင္စန္းဦး	Khin San Oo 	F
ခင္စန္းစန္း	Khin San San 	F
ခင္စန္းေ႐ႊ	Khin San Shwe 	F
ခင္စန္းတင္	Khin San Tin 	F
ခင္စန္းတင့္	Khin San Tint 	F
ခင္စန္းေဝ	Khin San Wai 	F
ခင္စန္းဝင္း	Khin San Win 	F
ခင္စန္းရီ	Khin San Ye 	F
ခင္စန္းရီ	Khin San Yi 	F
ခင္စန္းရင္၊ ခင္စန္းယဥ္	Khin San Yin 	F
ခင္စန္းယု	Khin San Yu 	F
ခင္စႏၵာ	Khin Sandar 	F
ခင္စႏၵာဝင္း	Khin Sandar Win 	F
ခင္ေစာ	Khin Saw 	M
ခင္ေစာ	Khin Saw 	F
ခင္ေစာလွ	Khin Saw Hla 	F
ခင္ေစာႏွင္း	Khin Saw Hnin 	F
ခင္ေစာလြင္	Khin Saw Lwin 	F
ခင္ေစာမူ	Khin Saw Mu 	F
ခင္ေစာျမင့္	Khin Saw Myint 	F
ခင္ေစာႏြယ္	Khin Saw Nwe 	F
ခင္ေစာဦး	Khin Saw Oo 	F
ခင္ေစာေဝ	Khin Saw Wai 	F
ခင္ေစာဝင္း	Khin Saw Win 	F
ခင္ေစာရီ၊ ခင္ေစာရည္	Khin Saw Yi 	F
ခင္စိန္	Khin Sein 	M
ခင္စိန္	Khin Sein 	F
ခင္စိန္ျမင့္	Khin Sein Myint 	F
ခင္စိန္ဝင္း	Khin Sein Win 	F
ခင္႐ွိန္	Khin Shein 	M
ခင္႐ွိန္	Khin Shein 	F
ခင္႐ႈ	Khin Shu 	F
ခင္ေ႐ႊ	Khin Shwe 	M
ခင္ေ႐ႊ	Khin Shwe 	F
ခင္ေ႐ႊဦး	Khin Shwe Oo 	F
ခင္ေ႐ႊဝင္း	Khin Shwe Win 	F
ခင္စည္	Khin Si 	F
ခင္ဆင့္	Khin Sint 	F
ခင္စိုး	Khin Soe 	M
ခင္စိုး	Khin Soe 	F
ခင္စိုးလြင္	Khin Soe Lwin 	F
ခင္စိုးမင္း	Khin Soe Min 	M
ခင္စိုးျမင့္	Khin Soe Myint 	F
ခင္စိုးစိုး	Khin Soe Soe 	F
ခင္စိုးဝင္း	Khin Soe Win 	F
ခင္စိုးရီ၊ ခင္စိုးရည္	Khin Soe Yi 	F
ခင္စု	Khin Su 	F
ခင္စုလႈိင္	Khin Su Hlaing 	F
ခင္စုစု	Khin Su Su 	F
ခင္စုေဝ	Khin Su Wai 	F
ခင္စုဝင္း	Khin Su Win 	F
ခင္ေဆြ	Khin Swe 	M
ခင္ေဆြ	Khin Swe 	F
ခင္ေဆြေအး	Khin Swe Aye 	F
ခင္ေဆြလႈိင္	Khin Swe Hlaing 	F
ခင္ေဆြျမင့္	Khin Swe Myint 	F
ခင္ေဆြဦး	Khin Swe Oo 	F
ခင္ေဆြသန္း	Khin Swe Than 	F
ခင္ေဆြသိန္း	Khin Swe Thein 	F
ခင္ေဆြတင့္	Khin Swe Tint 	F
ခင္ေဆြဝင္း	Khin Swe Win 	F
ခင္ေဆြရီ	Khin Swe Yi 	F
ခင္ေဆြယု	Khin Swe Yu 	F
ခင္သန္း	Khin Than 	M
ခင္သန္း	Khin Than 	F
ခင္သန္းေအး	Khin Than Aye 	F
ခင္သန္းလွ	Khin Than Hla 	F
ခင္သန္းေဌး	Khin Than Htay 	F
ခင္သန္းေထြး	Khin Than Htwe 	F
ခင္သန္းၾကည္	Khin Than Kyi 	F
ခင္သန္းလြင္	Khin Than Lwin 	F
ခင္သန္းျမင့္	Khin Than Myint 	F
ခင္သန္းႏိုင္	Khin Than Naing 	F
ခင္သန္းႏု	Khin Than Nu 	F
ခင္သန္းႏြယ္	Khin Than Nwe 	F
ခင္သန္းႏြဲ႕	Khin Than Nwet 	F
ခင္သန္းၫြန္႔	Khin Than Nyunt 	F
ခင္သန္းဦး	Khin Than Oo 	F
ခင္သန္းစိန္	Khin Than Sein 	F
ခင္သန္းေ႐ႊ	Khin Than Shwe 	F
ခင္သန္းစီ	Khin Than Si 	F
ခင္သန္းစု	Khin Than Su 	F
ခင္သန္းေဆြ	Khin Than Swe 	F
ခင္သန္းတင္	Khin Than Tin 	F
ခင္သန္းေဝ	Khin Than Wai 	F
ခင္သန္းဝင္း	Khin Than Win 	F
ခင္သန္းရီ	Khin Than Yi 	F
ခင္သန္းရင္၊ ခင္သန္းယဥ္	Khin Than Yin 	F
ခင္သန္းယု	Khin Than Yu 	F
ခင္သႏၲာ	Khin Thandar 	F
ခင္သႏၲာစိုး	Khin Thandar Soe 	F
ခင္သန္႔ဇင္	Khin Thant Zin 	F
ခင္ေသာင္း	Khin Thaung 	M
ခင္ေသာင္း	Khin Thaung 	F
ခင္သိန္း	Khin Thein 	M
ခင္သိန္း	Khin Thein 	F
ခင္သိန္းေအး	Khin Thein Aye 	F
ခင္သိန္းျမင့္	Khin Thein Myint 	F
ခင္သိန္းဦး	Khin Thein Oo 	F
ခင္သိန္းဝင္း	Khin Thein Win 	F
ခင္သိန္းရီ	Khin Thein Yi 	F
ခင္သက္	Khin Thet 	F
ခင္သက္ႏြယ္	Khin Thet Nwe 	F
ခင္သက္ေဆြ	Khin Thet Swe 	F
ခင္သက္တင္	Khin Thet Tin 	F
ခင္သက္ေဝ	Khin Thet Wai 	F
ခင္သီ	Khin Thi 	F
ခင္သီတာ	Khin Thida 	F
ခင္သီတာေအး	Khin Thida Aye 	F
ခင္သီတာလြင္	Khin Thida Lwin 	F
ခင္သီတာစိုး	Khin Thida Soe 	F
ခင္သီတာထြန္း	Khin Thida Tun 	F
ခင္သီတာဝင္း	Khin Thida Win 	F
ခင္သူ	Khin Thu 	F
ခင္သူဇာ	Khin Thuzar 	F
ခင္တီ	Khin Ti 	F
ခင္တင့္	Khin Tint 	F
ခင္တိုး	Khin Toe 	M
ခင္တိုး	Khin Toe 	F
ခင္တိုးျမင့္	Khin Toe Myint 	F
ခင္တုတ္	Khin Toke 	F
ခင္ထြန္း	Khin Tun 	M
ခင္ေဝ	Khin Wai 	F
ခင္ဝါ	Khin War 	F
ခင္ဝါဝါ	Khin War War 	F
ခင္ဝင္း	Khin Win 	M
ခင္ဝင္း	Khin Win 	F
ခင္ဝင္းၾကည္	Khin Win Kyi 	F
ခင္ဝင္းၾကဴ	Khin Win Kyu 	F
ခင္ဝင္းမာ	Khin Win Mar 	F
ခင္ဝင္းေမာ္	Khin Win Maw 	F
ခင္ဝင္းေမ	Khin Win May 	F
ခင္ဝင္းျမင့္	Khin Win Myint 	F
ခင္ဝင္းႏြယ္	Khin Win Nwe 	F
ခင္ဝင္းစိန္	Khin Win Sein 	F
ခင္ဝင္းေ႐ႊ	Khin Win Shwe 	F
ခင္ဝင္းေဆြ	Khin Win Swe 	F
ခင္ဝင္းတင့္	Khin Win Tint 	F
ခင္ဝင္းဝင္း	Khin Win Win 	F
ခင္ဝင္းရီ၊ ခင္ဝင္းရည္	Khin Win Yi 	F
ခင္ဝိုင္း	Khin Wine 	F
ခင္ရဲ	Khin Ye 	F
ခင္ရီ	Khin Yi 	F
ခင္ရီျမင့္	Khin Yi Myint 	F
ခင္ယံု	Khin Yone 	F
ခင္ယု	Khin Yu 	F
ခင္ယုေမ	Khin Yu May 	F
ခင္ယုေဝ	Khin Yu Wai 	F
ခင္ေဇာ္	Khin Zaw 	M
ခင္ေဇာ္ေအာင္	Khin Zaw Aung 	M
ခင္ေဇာ္ျမင့္	Khin Zaw Myint 	M
ခင္ေဇာ္ဦး	Khin Zaw Oo 	M
ခင္ေဇာ္ဝင္း	Khin Zaw Win 	M
ကို	Ko 	M
ကိုေအာင္	Ko Aung 	M
ကိုႀကီး	Ko Gyi 	M
ကိုကို	Ko Ko 	M
ကိုကိုေအာင္	Ko Ko Aung 	M
ကိုကိုေအး	Ko Ko Aye 	M
ကိုကိုႀကီး	Ko Ko Gyi 	M
ကိုကိုလႈိင္	Ko Ko Hlaing 	M
ကိုကိုေထြး	Ko Ko Htwe 	M
ကိုကိုေက်ာ္	Ko Ko Kyaw 	M
ကိုကိုၾကည္	Ko Ko Kyi 	M
ကိုကိုလတ္	Ko Ko Lat 	M
ကိုကိုေလး	Ko Ko Lay 	M
ကိုကိုလြင္	Ko Ko Lwin 	M
ကိုကိုေမာင္	Ko Ko Maung 	M
ကိုကိုျမင့္	Ko Ko Myint 	M
ကိုကိုႏိုင္	Ko Ko Naing 	M
ကိုကိုဦး	Ko Ko Oo 	M
ကိုကိုစိုး	Ko Ko Soe 	M
ကိုကိုသိန္း	Ko Ko Thein 	M
ကိုကိုတင္	Ko Ko Tin 	M
ကိုကိုထြန္း	Ko Ko Tun 	M
ကိုကိုဝင္း	Ko Ko Win 	M
ကိုကိုေဇာ္	Ko Ko Zaw 	M
ကိုၾကည္	Ko Kyi 	M
ကိုလတ္	Ko Lat 	M
ကိုေလး	Ko Lay 	M
ကိုျမင့္	Ko Myint 	M
ကိုဦး	Ko Oo 	M
ကိုဝင္း	Ko Win 	M
ႀကိဳင္	Kyaing 	M
ႀကိဳင္	Kyaing 	F
ႀကိဳင္ႀကိဳင္	Kyaing Kyaing 	F
ႀကိဳင္စန္းေ႐ႊ	Kyaing San Shwe 	M
ေက်ာ္	Kyaw 	M
ေက်ာ္ေအာင္	Kyaw Aung 	M
ေက်ာ္ေအး	Kyaw Aye 	M
ေက်ာ္ဒင္	Kyaw Din 	M
ေက်ာ္ဒြန္	Kyaw Dun 	M
ေက်ာ္ႀကီး	Kyaw Gyi 	M
ေက်ာ္ဟန္	Kyaw Han 	M
ေက်ာ္ဟိန္း	Kyaw Hein 	M
ေက်ာ္လွ	Kyaw Hla 	M
ေက်ာ္လႈိင္	Kyaw Hlaing 	M
ေက်ာ္ဟိုး	Kyaw Hoe 	M
ေက်ာ္ေဌး	Kyaw Htay 	M
ေက်ာ္ထက္	Kyaw Htet 	M
ေက်ာ္ထိုက္	Kyaw Htike 	M
ေက်ာ္ထင္	Kyaw Htin 	M
ေက်ာ္ထူး	Kyaw Htoo 	M
ေက်ာ္ထြဋ္	Kyaw Htut 	M
ေက်ာ္ေထြး	Kyaw Htwe 	M
ေက်ာ္ခိုင္	Kyaw Khaing 	M
ေက်ာ္ခိုင္ဦး	Kyaw Khaing Oo 	M
ေက်ာ္ခင္	Kyaw Khin 	M
ေက်ာ္ခင္သိန္း	Kyaw Khin Thein 	M
ေက်ာ္ကိုကို	Kyaw Ko Ko 	M
ေက်ာ္ေက်ာ္	Kyaw Kyaw 	M
ေက်ာ္ေက်ာ္ေအာင္	Kyaw Kyaw Aung 	M
ေက်ာ္ေက်ာ္ေအး	Kyaw Kyaw Aye 	M
ေက်ာ္ေက်ာ္လႈိင္	Kyaw Kyaw Hlaing 	M
ေက်ာ္ေက်ာ္ေဌး	Kyaw Kyaw Htay 	M
ေက်ာ္ေက်ာ္ေထြး	Kyaw Kyaw Htwe 	M
ေက်ာ္ေက်ာ္ခိုင္	Kyaw Kyaw Khaing 	M
ေက်ာ္ေက်ာ္လင္း	Kyaw Kyaw Lin 	M
ေက်ာ္ေက်ာ္လြင္	Kyaw Kyaw Lwin 	M
ေက်ာ္ေက်ာ္မင္း	Kyaw Kyaw Min 	M
ေက်ာ္ေက်ာ္မိုး	Kyaw Kyaw Moe 	M
ေက်ာ္ေက်ာ္ျမင့္	Kyaw Kyaw Myint 	M
ေက်ာ္ေက်ာ္ႏိုင္	Kyaw Kyaw Naing 	M
ေက်ာ္ေက်ာ္ၫြန္႔	Kyaw Kyaw Nyunt 	M
ေက်ာ္ေက်ာ္ဦး	Kyaw Kyaw Oo 	M
ေက်ာ္ေက်ာ္စိန္	Kyaw Kyaw Sein 	M
ေက်ာ္ေက်ာ္စိုး	Kyaw Kyaw Soe 	M
ေက်ာ္ေက်ာ္သိန္း	Kyaw Kyaw Thein 	M
ေက်ာ္ေက်ာ္ထြန္း	Kyaw Kyaw Tun 	M
ေက်ာ္ေက်ာ္ဝင္း	Kyaw Kyaw Win 	M
ေက်ာ္ေက်ာ္ဇင္	Kyaw Kyaw Zin 	M
ေက်ာ္ေလး	Kyaw Lay 	M
ေက်ာ္လင္း	Kyaw Lin 	M
ေက်ာ္လင္းေအာင္	Kyaw Lin Aung 	M
ေက်ာ္လင္းဦး	Kyaw Lin Oo 	M
ေက်ာ္လင္းထြန္း	Kyaw Lin Tun 	M
ေက်ာ္လြင္	Kyaw Lwin 	M
ေက်ာ္လြင္ဦး	Kyaw Lwin Oo 	M
ေက်ာ္ေမာင္	Kyaw Maung 	M
ေက်ာ္မင္း	Kyaw Min 	M
ေက်ာ္မင္းေအာင္	Kyaw Min Aung 	M
ေက်ာ္မင္းေအး	Kyaw Min Aye 	M
ေက်ာ္မင္းခိုင္	Kyaw Min Khaing 	M
ေက်ာ္မင္းလြင္	Kyaw Min Lwin 	M
ေက်ာ္မင္းႏိုင္	Kyaw Min Naing 	M
ေက်ာ္မင္းဦး	Kyaw Min Oo 	M
ေက်ာ္မင္းစိုး	Kyaw Min Soe 	M
ေက်ာ္မင္းသိန္း	Kyaw Min Thein 	M
ေက်ာ္မင္းထြန္း	Kyaw Min Tun 	M
ေက်ာ္မိုး	Kyaw Moe 	M
ေက်ာ္မိုးေအာင္	Kyaw Moe Aung 	M
ေက်ာ္မိုးခိုင္	Kyaw Moe Khaing 	M
ေက်ာ္မိုးလြင္	Kyaw Moe Lwin 	M
ေက်ာ္မိုးႏိုင္	Kyaw Moe Naing 	M
ေက်ာ္မိုးသူ	Kyaw Moe Thu 	M
ေက်ာ္မိုးေဇာ္	Kyaw Moe Zaw 	M
ေက်ာ္ျမ	Kyaw Mya 	M
ေက်ာ္ျမသိန္း	Kyaw Mya Thein 	M
ေက်ာ္ၿမိဳင္	Kyaw Myaing 	M
ေက်ာ္ျမတ္စိုး	Kyaw Myat Soe 	M
ေက်ာ္ျမင့္	Kyaw Myint 	M
ေက်ာ္ျမင့္ေအာင္	Kyaw Myint Aung 	M
ေက်ာ္ျမင့္ႏိုင္	Kyaw Myint Naing 	M
ေက်ာ္ျမင့္ဦး	Kyaw Myint Oo 	M
ေက်ာ္ျမင့္ေဆြ	Kyaw Myint Swe 	M
ေက်ာ္ျမင့္သိန္း	Kyaw Myint Thein 	M
ေက်ာ္ျမင့္ထြန္း	Kyaw Myint Tun 	M
ေက်ာ္မ်ဳိး	Kyaw Myo 	M
ေက်ာ္မ်ဳိးေအာင္	Kyaw Myo Aung 	M
ေက်ာ္မ်ဳိးလႈိင္	Kyaw Myo Hlaing 	M
ေက်ာ္မ်ဳိးခိုင္	Kyaw Myo Khaing 	M
ေက်ာ္မ်ဳိးလြင္	Kyaw Myo Lwin 	M
ေက်ာ္မ်ဳိးႏိုင္	Kyaw Myo Naing 	M
ေက်ာ္မ်ဳိးၫြန္႔	Kyaw Myo Nyunt 	M
ေက်ာ္မ်ဳိးထြန္း	Kyaw Myo Tun 	M
ေက်ာ္မ်ဳိးဝင္း	Kyaw Myo Win 	M
ေက်ာ္ႏိုင္	Kyaw Naing 	M
ေက်ာ္ႏိုင္ဦး	Kyaw Naing Oo 	M
ေက်ာ္ႏိုင္စိုး	Kyaw Naing Soe 	M
ေက်ာ္ႏိုင္ထြန္း	Kyaw Naing Tun 	M
ေက်ာ္ႏိုင္ဝင္း	Kyaw Naing Win 	M
ေက်ာ္ေငြ	Kyaw Ngwe 	M
ေက်ာ္ဉာဏ္ထြန္း	Kyaw Nyan Tun 	M
ေက်ာ္ၿငိမ္း	Kyaw Nyein 	M
ေက်ာ္ၫြန္႔	Kyaw Nyunt 	M
ေက်ာ္အုန္း	Kyaw Ohn 	M
ေက်ာ္ဦး	Kyaw Oo 	M
ေက်ာ္ပိုင္	Kyaw Paing 	M
ေက်ာ္ေဖ	Kyaw Pe 	M
ေက်ာ္ဆန္း	Kyaw San 	M
ေက်ာ္ဆန္းလင္း	Kyaw San Lin 	M
ေက်ာ္ဆန္းလြင္	Kyaw San Lwin 	M
ေက်ာ္ဆန္းျမင့္	Kyaw San Myint 	M
ေက်ာ္ဆန္းဦး	Kyaw San Oo 	M
ေက်ာ္ဆန္းထြန္း	Kyaw San Tun 	M
ေက်ာ္ဆန္းဝင္း	Kyaw San Win 	M
ေက်ာ္စိန္	Kyaw Sein 	M
ေက်ာ္စိန္လွ	Kyaw Sein Hla 	M
ေက်ာ္စိန္ထြန္း	Kyaw Sein Tun 	M
ေက်ာ္စိန္ဝင္း	Kyaw Sein Win 	M
ေက်ာ္႐ွိန္	Kyaw Shein 	M
ေက်ာ္႐ွင္း	Kyaw Shin 	M
ေက်ာ္ေ႐ႊ	Kyaw Shwe 	M
ေက်ာ္ဆင့္	Kyaw Sint 	M
ေက်ာ္စိုး	Kyaw Soe 	M
ေက်ာ္စိုးေအာင္	Kyaw Soe Aung 	M
ေက်ာ္စိုးလႈိင္	Kyaw Soe Hlaing 	M
ေက်ာ္စိုးလင္း	Kyaw Soe Lin 	M
ေက်ာ္စိုးလြင္	Kyaw Soe Lwin 	M
ေက်ာ္စိုးမင္း	Kyaw Soe Min 	M
ေက်ာ္စိုးမိုး	Kyaw Soe Moe 	M
ေက်ာ္စိုးျမင့္	Kyaw Soe Myint 	M
ေက်ာ္စိုးႏိုင္	Kyaw Soe Naing 	M
ေက်ာ္စိုးဦး	Kyaw Soe Oo 	M
ေက်ာ္စိုးထြန္း	Kyaw Soe Tun 	M
ေက်ာ္စိုးဝင္း	Kyaw Soe Win 	M
ေက်ာ္စြာ	Kyaw Swar 	M
ေက်ာ္စြာေအာင္	Kyaw Swar Aung 	M
ေက်ာ္စြာလင္း	Kyaw Swar Lin 	M
ေက်ာ္စြာလြင္	Kyaw Swar Lwin 	M
ေက်ာ္စြာျမင့္	Kyaw Swar Myint 	M
ေက်ာ္စြာဦး	Kyaw Swar Oo 	M
ေက်ာ္စြာစိုး	Kyaw Swar Soe 	M
