Burmese	English	Gender
ေအာင္ျမင့္ေက်ာ္	Aung Myint Kyaw 	M
ေအာင္ျမင့္ၾကည္	Aung Myint Kyi 	M
ေအာင္ျမင့္ေမာင္	Aung Myint Maung 	M
ေအာင္ျမင့္ႏိုင္	Aung Myint Naing 	M
ေအာင္ျမင့္ဦး	Aung Myint Oo 	M
ေအာင္ျမင့္စိန္	Aung Myint Sein 	M
ေအာင္ျမင့္ေ႐ႊ	Aung Myint Shwe 	M
ေအာင္ျမင့္စိုး	Aung Myint Soe 	M
ေအာင္ျမင့္ေဆြ	Aung Myint Swe 	M
ေအာင္ျမင့္သန္း	Aung Myint Than 	M
ေအာင္ျမင့္သိန္း	Aung Myint Thein 	M
ေအာင္ျမင့္ထြန္း	Aung Myint Tun 	M
ေအာင္မ်ဳိး	Aung Myo 	M
ေအာင္မ်ဳိးဟိန္း	Aung Myo Hein 	M
ေအာင္မ်ဳိးထြဋ္	Aung Myo Htut 	M
ေအာင္မ်ဳိးခိုင္	Aung Myo Khaing 	M
ေအာင္မ်ဳိးေက်ာ္	Aung Myo Kyaw 	M
ေအာင္မ်ဳိးလြင္	Aung Myo Lwin 	M
ေအာင္မ်ဳိးျမင့္	Aung Myo Myint 	M
ေအာင္မ်ဳိးႏိုင္	Aung Myo Naing 	M
ေအာင္မ်ဳိးဦး	Aung Myo Oo 	M
ေအာင္မ်ဳိးသန္႔	Aung Myo Thant 	M
ေအာင္မ်ဳိးသူ	Aung Myo Thu 	M
ေအာင္မ်ဳိးထြန္း	Aung Myo Tun 	M
ေအာင္မ်ဳိးဝင္း	Aung Myo Win 	M
ေအာင္မ်ဳိးေဇာ္	Aung Myo Zaw 	M
ေအာင္ႏိုင္	Aung Naing 	M
ေအာင္ႏိုင္ေထြး	Aung Naing Htwe 	M
ေအာင္ႏိုင္လင္း	Aung Naing Lin 	M
ေအာင္ႏိုင္မိုး	Aung Naing Moe 	M
ေအာင္ႏိုင္ျမင့္	Aung Naing Myint 	M
ေအာင္ႏိုင္ဦး	Aung Naing Oo 	M
ေအာင္ႏိုင္စိုး	Aung Naing Soe 	M
ေအာင္ႏိုင္သူ	Aung Naing Thu 	M
ေအာင္ႏိုင္ထြန္း	Aung Naing Tun 	M
ေအာင္ႏိုင္ဝင္း	Aung Naing Win 	M
ေအာင္ေငြ	Aung Ngwe 	M
ေအာင္ေငြစိုး	Aung Ngwe Soe 	M
ေအာင္ၿငိမ္း	Aung Nyein 	M
ေအာင္ၫြန္႔	Aung Nyunt 	M
ေအာင္ဦး	Aung Oo 	M
ေအာင္ပိုင္	Aung Paing 	M
ေအာင္ပန္း	Aung Pan 	M
ေအာင္ေဖ	Aung Pe 	M
ေအာင္ဘုန္း	Aung Phone 	M
ေအာင္ၿဖိဳး	Aung Phyo 	M
ေအာင္ျပည့္စံု	Aung Pyae Sone 	M
ေအာင္ဆန္း၊ ေအာင္စန္း	Aung San 	M
ေအာင္စန္းလြင္၊ ေအာင္ဆန္းလြင္	Aung San Lwin 	M
